,compound,neg,neu,pos,text,date,User,tweets ago
0,0.0,0.0,1.0,0.0,What to expect at the White House Correspondents' dinner https://t.co/7cpfigUXYM https://t.co/rAzCEqJOu7,Sat Apr 28 20:30:05 +0000 2018,@CNN,1
1,0.5859,0.0,0.625,0.375,Veterans' grass-roots movement shares health benefits of marijuana https://t.co/ASR2JEfHXL https://t.co/g2obaa6tAS,Sat Apr 28 20:15:05 +0000 2018,@CNN,2
2,0.5267,0.0,0.726,0.274,"North Korean state media praises ""historic"" Kim-Moon summit https://t.co/yoEiSPqb7J https://t.co/vAkN23ucHn",Sat Apr 28 20:00:10 +0000 2018,@CNN,3
3,0.7506,0.0,0.714,0.286,South Koreans dare to hope of once unthinkable peace with North Korean leader Kim Jong Un https://t.co/IQZjkgkyFd https://t.co/Yf0AtCoWZw,Sat Apr 28 19:45:06 +0000 2018,@CNN,4
4,0.0,0.0,1.0,0.0,"Texas voter ID law can go into effect, appeals court panel rules https://t.co/KUMDKOEA0I https://t.co/HO460OF9o4",Sat Apr 28 19:30:14 +0000 2018,@CNN,5
5,0.0,0.192,0.548,0.26,This bill could weaken the protection of a credit freeze https://t.co/mmVkY9BttT https://t.co/KDVxAnSYQO,Sat Apr 28 19:15:09 +0000 2018,@CNN,6
6,0.7184,0.0,0.647,0.353,"China and India agree to maintain border peace, as summit ends https://t.co/mbe9FCpyAc https://t.co/13e9MUtA2v",Sat Apr 28 19:00:06 +0000 2018,@CNN,7
7,0.4215,0.127,0.633,0.241,Australian Olympian Peter Norman honored over 1968 black power protest https://t.co/Am7VJfOwCS https://t.co/rj0fzhzawB,Sat Apr 28 18:45:07 +0000 2018,@CNN,8
8,0.0,0.0,1.0,0.0,Who is Meghan Markle's future husband? https://t.co/xrBmz2CcXG https://t.co/Eg76r4rwnl,Sat Apr 28 18:30:06 +0000 2018,@CNN,9
9,0.1779,0.0,0.855,0.145,Everything Amazon has added to Prime over the years https://t.co/9hB9XzHbLG https://t.co/yDYCJrI2z8,Sat Apr 28 18:15:04 +0000 2018,@CNN,10
10,0.8834,0.0,0.57,0.43,New Orleans residents share their pride and passion for their home as the city celebrates its 300th anniversary… https://t.co/UfCy8h12Di,Sat Apr 28 18:15:00 +0000 2018,@CNN,11
11,-0.4767,0.162,0.838,0.0,"White House shows documents to defend Dr. Ronny Jackson on car accident, some questions over pills… https://t.co/5c3ChCSNym",Sat Apr 28 18:00:09 +0000 2018,@CNN,12
12,-0.34,0.112,0.888,0.0,President Trump calls for Democratic Sen. Jon Tester to resign over his opposition to White House physician Ronny J… https://t.co/ZJhmRN8aAc,Sat Apr 28 17:45:05 +0000 2018,@CNN,13
